"artist_id","name","country","city","dob"
5747,"Eric Clapton","Genova","San Vicente Pacaya","1998-03-28"
5748,"Iron Maiden","Brazil","Guaira","2003-08-12"
5749,"Kasabian","China","Shanhaiguan","1995-11-24"
5750,"Miley Cyrus","Greece","Fournoi","2002-04-05"
5751,"Snow Patrol","Ivory Coast","Bingerville","1995-06-27"
5752,"Daft Punk","Japan","Kusatsu","2002-07-19"
5753,"Nirvana","Slovenia","Spodnja Hajdina","2002-03-25"
5754,"Shakira","East Timor","Aileu","1997-01-30"
5755,"Lady Gaga","Russia","Sovetsk","1994-09-09"
5756,"Queens of the Stone Age","Colombia","El Cerrito","1998-06-23"
5757,"Stevie Wonder","Philippines","Vito","1999-03-01"
5758,"The All-American Rejects","Sweden","Kristianstad","2003-07-22"
5759,"Pixies","Sweden","Vilhelmina","2000-03-24"
5760,"Akon","China","Hexi","1991-09-08"
5761,"Bruce Springsteen","Democratic Republic of the Congo","Kambove","1994-10-24"
5762,"Avril Lavigne","Croatia","Makarska","2002-07-16"
5763,"Guns N' Roses","Argentina","Villa Gesell","1997-05-30"
5764,"The Police","China","Xinkaikou","1994-12-18"
5765,"Usher","China","Enshi","2000-10-10"
5766,"Sam Smith","Sweden","Bandhagen","2000-12-10"
5767,"Drake","China","Yinla","1996-04-05"
5768,"Bloc Party","Palestinian Territory","Al Fandaqmyah","1995-02-20"
5769,"James Blunt","Poland","Ostrzeszow","1994-08-29"
5770,"Snoop Dogg","China","Xinghua","1998-04-06"
5771,"Little Mix","China","Huashan","1996-06-12"
5772,"The Kooks","North Korea","Hngjudong","2004-01-10"
5773,"The Smashing Pumpkins","Argentina","Ushuaia","1998-06-25"
5774,"Pink Floyd","France","MЋrignac","2004-03-15"
5775,"Nicki Minaj","Mozambique","ChokwЋ","2003-07-10"
5776,"Placebo","China","Gantang","1997-01-16"
5777,"The White Stripes","Philippines","Mananum","1998-05-30"
5778,"Green Day","Guatemala","Pochuta","1999-07-07"
5779,"Keane","Indonesia","Puor","1994-10-14"
5780,"blink-182","Mexico","Pueblo Nuevo","1998-10-11"
5781,"Jimi Hendrix","China","Baqiu","1991-11-20"
5782,"Madonna","Brazil","Concordia","1992-06-11"
5783,"Queen","Bahrain","Madnatsaz","2005-01-18"
5784,"Justin Timberlake","Latvia","Rzekne","1994-06-08"
5785,"Muse","Philippines","Tabio","1997-10-11"
5786,"Britney Spears","China","Dayou","1994-02-21"
5787,"Lupe Fiasco","United States","Houston","1989-03-18"
5788,"Kings of Leon","France","Longvic","1992-12-20"
5789,"Jason Mraz","New Zealand","Raglan","1992-01-09"
5790,"Evanescence","Mongolia","Doloon","2002-09-14"
5791,"R.E.M.","Colombia","Rovira","1989-02-28"
5792,"Red Hot Chili Peppers","Russia","Zaokskiy","1996-11-28"
5793,"MGMT","Israel","Savyon","2001-02-13"
5794,"Bob Marley","Finland","Vilppula","1989-07-29"
5795,"Beck","China","Qingxi","2003-08-21"
5796,"Dolls","Palestinian Territory","Bazzryah","1996-12-29"
5797,"Disturbed","Russia","Sernur","1997-07-16"
5798,"AC/DC","Indonesia","Urung","2003-07-11"
5799,"Breaking Benjamin","Peru","Pampas","1998-10-16"
5800,"David Bowie","Greece","PЋfki","1996-07-19"
5801,"Death Cab for Cutie","Iran","Kabdarhang","1997-10-05"
5802,"Chris Brown","Brazil","Marialva","1990-12-17"
5803,"Rihanna","Russia","Nesterovskaya","1989-11-18"
5804,"Martin Garrix","China","Geshan","1998-08-10"
5805,"Jimmy Eat World","China","Huazhou","2001-03-10"
5806,"Fall Out Boy","United States","Las Vegas","2005-05-28"
5807,"Eminem","Yemen","Burm","2001-03-08"
5808,"Katy Perry","Indonesia","Wengaingo","1997-03-09"
5809,"The Clash","Bonaire, Saint Eustatius and Saba ","Dorp Tera Kora","1990-09-24"
5810,"Marilyn Manson","United States","Buffalo","1994-07-04"
5811,"The Cranberries","Indonesia","Krajan Jabungcandi","1998-03-25"
5812,"The Shins","Portugal","RoliЌa","2004-06-13"
5813,"Linkin Park","China","Jiucheng","1999-09-07"
5814,"Aerosmith","Philippines","Marsada","1990-02-19"
5815,"Iron & Wine","Argentina","Isla Verde","1995-10-17"
5816,"Amy Winehouse","Portugal","Vila Ch‹","1998-11-22"
5817,"Korn","United States","Oklahoma City","1995-01-16"
5818,"OutKast","United States","Harrisburg","1994-03-21"
5819,"Radiohead","Italy","Genova","1994-08-27"
5820,"Arcade Fire","China","Liujiage","2000-05-21"
5825,"Incubus","Spain","Gijon","1992-07-27"
5826,"Weezer","Indonesia","Pengulu","2004-05-18"
5827,"Moby","Palau","Sonsorol Village","1996-06-11"
5828,"Portishead","Indonesia","Kadukaung","2005-06-15"
5829,"Depeche Mode","Indonesia","Kembangkerang Satu","1996-12-11"
5830,"Adele","Indonesia","Naifalo","1994-03-02"
5831,"Interpol","Thailand","Na Khu","1989-06-08"
5832,"30 Seconds to Mars","China","Dajin","2003-10-19"
5833,"The Beach Boys","Iran","Alvand","2002-10-03"
5834,"Bob Dylan","Indonesia","Hamberang Sabrang","1995-02-17"
5835,"Calvin Harris","Philippines","Iligan City","1990-03-27"
5836,"Papa Roach","China","Ehu","2002-04-21"
5837,"Led Zeppelin","Finland","Replot","1992-01-10"
5838,"Franz Ferdinand","Pakistan","Llin","1998-03-14"
5839,"Black Sabbath","China","Baiyashi","2005-08-01"
5840,"Goo Goo Dolls","Ukraine","Dmytrivka","1991-06-27"
5841,"Michael Jackson","Albania","Krutja e Poshtme","2001-09-25"
5842,"David Guetta","Mongolia","Undurkhaan","1991-12-05"
5843,"Panic! at the Disco","Myanmar","Letpandan","2005-05-11"
5844,"Air","Colombia","Since","1997-09-06"
5845,"BTS","Indonesia","Ranisoba","1989-10-31"
5846,"Eagles","Sri Lanka","Shanjeev Home","1994-05-04"
5847,"Alicia Keys","Poland","Pewel Wielka","1991-03-28"
5848,"Fleetwood Mac","Philippines","Platagata","1994-06-22"
5849,"The Chemical Brothers","Malawi","Lilongwe","1991-06-10"
5850,"T.I.","Croatia","Petrijevci","1994-12-14"
5851,"Massive Attack","Morocco","Aguelmous","1994-09-09"
5852,"Limp Bizkit","Japan","Hasaki","1998-03-27"
5853,"Elton John","China","Xiangcunxiang","1996-02-10"
5854,"Dr. Dre","Serbia","Lebane","1998-06-27"
5855,"Jennifer Lopez","China","Qintang","1994-01-04"
5856,"The Beatles","Indonesia","Semanding Barat","1991-03-31"
5857,"Maroon 5","Portugal","Seia","2005-06-30"
5858,"The Doors","China","Qingyun","1996-06-23"
5859,"Gwen Stefani","France","Saint-Jean-de-Vedas","2000-08-20"
5860,"Kanye West","Greece","Kallitha","1990-10-29"
5861,"Audioslave","Cambodia","Koh Kong","1995-07-13"
5862,"Lily Allen","Poland","Belsk Duy","1994-11-07"
5863,"Oasis","Venezuela","Encontrados","1997-12-13"
5864,"Three Days Grace","Indonesia","Haurpanggung","1996-08-19"
5865,"John Mayer","Nicaragua","Santo Tomas","2002-04-30"
5866,"Beastie Boys","China","Chengqiao","1994-01-17"
5867,"Slipknot","Canada","Bridgewater","2002-09-15"
5868,"Rage Against the Machine","China","Hairag","1999-10-25"
5869,"Modest Mouse","France","Saint Cloud","1995-12-06"
